iter	Passed	Remaining
0	327	327567
1	420	209727
2	521	173458
3	606	150924
4	626	124751
5	704	116760
6	767	108871
7	816	101205
8	865	95336
9	916	90704
10	963	86631
11	1009	83094
12	1052	79941
13	1105	77874
14	1154	75792
15	1203	73997
16	1255	72578
17	1298	70838
18	1351	69755
19	1400	68641
20	1449	67569
21	1497	66580
22	1525	64812
23	1572	63944
24	1616	63034
25	1667	62466
26	1710	61634
27	1753	60881
28	1800	60278
29	1844	59626
30	1895	59241
31	1940	58687
32	1983	58128
33	2029	57675
34	2076	57243
35	2123	56850
36	2171	56516
37	2217	56134
38	2260	55713
39	2303	55285
40	2349	54962
41	2391	54556
42	2438	54275
43	2484	53971
44	2526	53612
45	2570	53300
46	2616	53052
47	2661	52787
48	2704	52486
49	2750	52250
50	2797	52056
51	2843	51843
52	2886	51580
53	2927	51286
54	2973	51095
55	3023	50966
56	3066	50734
57	3109	50495
58	3156	50336
59	3200	50146
60	3247	49987
61	3294	49849
62	3341	49694
63	3385	49509
64	3430	49342
65	3479	49235
66	3521	49037
67	3566	48882
68	3609	48703
69	3657	48591
70	3699	48406
71	3761	48479
72	3900	49535
73	3945	49376
74	3991	49229
75	4039	49109
76	4086	48989
77	4139	48930
78	4197	48940
79	4243	48797
80	4288	48658
81	4335	48532
82	4377	48362
83	4425	48257
84	4471	48130
85	4515	47988
86	4560	47855
87	4605	47726
88	4650	47602
89	4694	47463
90	4741	47363
91	4784	47221
92	4831	47119
93	4879	47027
94	4929	46955
95	4976	46864
96	5022	46752
97	5064	46613
98	5111	46518
99	5159	46437
100	5202	46310
101	5250	46220
102	5293	46100
103	5341	46016
104	5387	45923
105	5430	45798
106	5475	45694
107	5518	45581
108	5565	45495
109	5614	45428
110	5657	45307
111	5712	45289
112	5783	45399
113	5869	45618
114	5933	45665
115	6009	45796
116	6080	45892
117	6125	45787
118	6171	45691
119	6217	45597
120	6260	45477
121	6304	45368
122	6351	45286
123	6397	45198
124	6447	45129
125	6496	45060
126	6537	44935
127	6588	44882
128	6631	44773
129	6675	44676
130	6718	44566
131	6762	44469
132	6811	44402
133	6860	44336
134	6905	44244
135	6951	44163
136	6996	44070
137	7039	43969
138	7081	43864
139	7124	43766
140	7167	43667
141	7214	43592
142	7265	43542
143	7310	43458
144	7356	43378
145	7402	43300
146	7450	43234
147	7494	43145
148	7540	43065
149	7582	42969
150	7635	42928
151	7681	42853
152	7729	42790
153	7773	42701
154	7819	42630
155	7863	42540
156	7906	42455
157	7951	42374
158	7997	42299
159	8042	42223
160	8089	42155
161	8135	42083
162	8179	41998
163	8223	41918
164	8268	41843
165	8311	41756
166	8356	41684
167	8399	41595
168	8444	41521
169	8493	41469
170	8537	41391
171	8584	41325
172	8647	41335
173	8692	41265
174	8738	41195
175	8780	41108
176	8823	41028
177	8867	40951
178	8911	40871
179	8958	40812
180	9000	40724
181	9046	40661
182	9094	40600
183	9145	40558
184	9191	40490
185	9244	40457
186	9298	40427
187	9352	40393
188	9484	40696
189	9586	40867
190	9636	40817
191	9685	40761
192	9742	40735
193	9790	40675
194	9842	40632
195	9893	40582
196	9939	40516
197	9987	40453
198	10029	40369
199	10074	40296
200	10118	40222
201	10167	40165
202	10212	40094
203	10255	40017
204	10300	39945
